X,Y,Z,t
0.803,-1.439,9.555,5
0.798,-1.436,9.556,5
0.783,-1.41,9.533,4
0.845,-1.421,9.559,5
0.821,-1.433,9.511,5
0.82,-1.398,9.532,5
0.805,-1.398,9.566,5
0.753,-1.399,9.574,5
0.723,-1.398,9.578,5
0.757,-1.421,9.556,5
0.757,-1.452,9.547,5
0.754,-1.495,9.565,5
0.752,-1.436,9.593,5
0.739,-1.413,9.591,5
0.752,-1.428,9.577,5
0.78,-1.434,9.52,5
0.793,-1.422,9.538,5
0.779,-1.407,9.58,5
0.732,-1.4,9.554,5
0.733,-1.374,9.529,5
0.738,-1.392,9.527,4
0.745,-1.404,9.565,5
0.716,-1.425,9.569,5
0.694,-1.417,9.55,5
0.696,-1.435,9.564,5
0.747,-1.425,9.53,5
0.76,-1.42,9.545,5
0.777,-1.413,9.555,5
0.76,-1.389,9.556,5
0.779,-1.368,9.537,5
0.778,-1.408,9.552,5
0.807,-1.403,9.504,5
0.787,-1.434,9.52,5
0.791,-1.428,9.561,5
0.744,-1.389,9.576,5
0.746,-1.422,9.515,5
0.749,-1.471,9.515,5
0.746,-1.46,9.579,5
0.763,-1.457,9.661,4
0.736,-1.436,9.601,5
0.758,-1.438,9.569,5
0.796,-1.422,9.544,5
0.83,-1.425,9.529,5
0.833,-1.441,9.566,5
0.787,-1.4,9.527,5
0.782,-1.391,9.522,5
0.795,-1.413,9.539,5
0.776,-1.42,9.541,5
0.742,-1.405,9.578,5
0.686,-1.401,9.572,5
0.722,-1.416,9.597,5
0.736,-1.445,9.55,5
0.74,-1.463,9.555,5
0.746,-1.444,9.569,5
0.722,-1.399,9.601,5
0.715,-1.365,9.567,5
0.76,-1.381,9.595,4
0.786,-1.396,9.537,5
0.79,-1.378,9.503,5
0.777,-1.367,9.568,5
0.755,-1.364,9.536,5
0.781,-1.379,9.525,5
0.774,-1.405,9.53,5
0.752,-1.423,9.541,5
0.756,-1.421,9.55,5
0.741,-1.414,9.559,5
0.735,-1.414,9.539,5
0.781,-1.453,9.534,5
0.798,-1.442,9.571,5
0.816,-1.428,9.622,5
0.774,-1.425,9.605,5
0.805,-1.388,9.527,5
0.862,-1.417,9.52,5
0.845,-1.447,9.552,5
0.823,-1.429,9.574,4
0.802,-1.422,9.592,5
0.765,-1.438,9.554,5
0.773,-1.434,9.513,5
0.76,-1.447,9.564,5
0.787,-1.432,9.635,5
0.746,-1.405,9.545,5
0.71,-1.396,9.571,5
0.753,-1.386,9.574,5
0.768,-1.442,9.602,5
0.777,-1.45,9.586,5
0.744,-1.428,9.557,5
0.744,-1.406,9.547,5
0.76,-1.429,9.561,5
0.768,-1.434,9.53,5
0.76,-1.424,9.544,5
0.715,-1.387,9.552,5
0.702,-1.384,9.546,4
0.691,-1.387,9.565,5
0.706,-1.404,9.521,5
0.739,-1.42,9.541,5
0.74,-1.402,9.556,5
